epoch,accuracy,loss,val_accuracy,val_loss
0,0.7390000224113464,0.7184848189353943,0.8824999928474426,0.292855441570282
1,0.8330000042915344,0.41044169664382935,0.8949999809265137,0.27479976415634155
2,0.8709999918937683,0.2976202964782715,0.8912500143051147,0.2766420245170593
3,0.8960000276565552,0.23895540833473206,0.8912500143051147,0.2872350513935089
4,0.9100000262260437,0.2166990488767624,0.8999999761581421,0.29338401556015015
5,0.9269999861717224,0.18868722021579742,0.90625,0.2757243812084198
6,0.9449999928474426,0.1442815363407135,0.8637499809265137,0.4533977508544922
7,0.9490000009536743,0.12730267643928528,0.8675000071525574,0.4782419502735138
8,0.9670000076293945,0.08788931369781494,0.9049999713897705,0.33185046911239624
9,0.9549999833106995,0.12574322521686554,0.8887500166893005,0.35049721598625183
